timestamp_ms,datetime_utc,open,high,low,close,base_volume,quote_volume
1651363200000,2022-05-01T00:00:00+00:00,37608,37748,37597,37663.5,1393.87,52514358.437
1651364100000,2022-05-01T00:15:00+00:00,37663.5,37692.5,37609.5,37615,835.642,31461932.358
1651365000000,2022-05-01T00:30:00+00:00,37615,37788.5,37460,37702,3069.868,115533308.354
1651365900000,2022-05-01T00:45:00+00:00,37702,37704,37633,37665,911.328,34328840.5955
1651366800000,2022-05-01T01:00:00+00:00,37665,37709,37613,37623,642.661,24203594.3985
1651367700000,2022-05-01T01:15:00+00:00,37623,37645.5,37521.5,37589.5,1633.687,61411109.3545
1651368600000,2022-05-01T01:30:00+00:00,37589.5,37924,37364,37894,4630.173,174177225.119
1651369500000,2022-05-01T01:45:00+00:00,37894,38056.5,37809,37911.5,3422.131,129797632.272
1651370400000,2022-05-01T02:00:00+00:00,37911.5,37978,37866,37967.5,1151.886,43675609.322
1651371300000,2022-05-01T02:15:00+00:00,37967.5,38028,37895,37918,1323.808,50256084.369
1651372200000,2022-05-01T02:30:00+00:00,37918,37930,37785.5,37805.5,1140.691,43194678.879
1651373100000,2022-05-01T02:45:00+00:00,37805.5,37839,37753.5,37802,930.395,35170620.806
1651374000000,2022-05-01T03:00:00+00:00,37802,37909,37784,37908,917.616,34740445.2215
1651374900000,2022-05-01T03:15:00+00:00,37907.5,37997.5,37860.5,37987.5,1202.433,45626689.9955
1651375800000,2022-05-01T03:30:00+00:00,37987.5,38012,37927.5,37976,611.854,23235932.012
1651376700000,2022-05-01T03:45:00+00:00,37976,38041.5,37961,38014,845.138,32118895.7135
1651377600000,2022-05-01T04:00:00+00:00,38014,38031,37958.5,37973,629.1,23911971.539
1651378500000,2022-05-01T04:15:00+00:00,37973,38006.5,37950,37957,501.715,19055894.8545
1651379400000,2022-05-01T04:30:00+00:00,37957,37957,37886.5,37923.5,765.327,29026308.5885
1651380300000,2022-05-01T04:45:00+00:00,37924,37932.5,37866,37927.5,619.035,23459144.275
1651381200000,2022-05-01T05:00:00+00:00,37927.5,38135,37899,38125.5,1449.867,55157972.4965
1651382100000,2022-05-01T05:15:00+00:00,38125.5,38154,38013.5,38077.5,1008.499,38404890.5885
1651383000000,2022-05-01T05:30:00+00:00,38077.5,38108.5,38057.5,38078,517.936,19725679.402
1651383900000,2022-05-01T05:45:00+00:00,38078,38092,38030,38040,537.502,20452036.107
1651384800000,2022-05-01T06:00:00+00:00,38040,38132.5,38029.5,38049,833.889,31754291.9325
1651385700000,2022-05-01T06:15:00+00:00,38049,38084.5,38036.5,38052.5,440.495,16764428.609
1651386600000,2022-05-01T06:30:00+00:00,38052.5,38058.5,37983.5,38001,1061.987,40359086.3115
1651387500000,2022-05-01T06:45:00+00:00,38001,38002.5,37925,37930.5,887.063,33674575.7155
1651388400000,2022-05-01T07:00:00+00:00,37930.5,37951.5,37898,37914,756.042,28674240.4735
