e,t,a,d,fav,tb,advn,fav_n,decn,rel,ret,net,dur,mk
2059,1561958004,FX,S,556.6927,228622.78,1,1,2,1.0,306.6675,9.378102,228622.78,0.0
2060,1561958004,FE,L,,0.0,0,0,0,,-292.6839,-19.616633,36435.05,0.0
2060,1561958270,A,L,-18.9704,265.77,0,0,0,2604.92041,-292.6839,-19.616633,36435.05,0.0
2060,1561976395,R,L,25.3877,18390.68,1,0,0,0.10047,-292.6839,-19.616633,36435.05,1.0
2060,1561976964,A,L,16.2613,18959.59,1,0,1,891.55716,-292.6839,-19.616633,36435.05,1.0
2060,1561988824,R,L,-341.3287,30819.98,1,1,1,0.15152,-292.6839,-19.616633,36435.05,0.111
2060,1561988856,R,L,-369.0145,30851.93,1,1,2,0.00646,-292.6839,-19.616633,36435.05,1.0
2060,1561989563,A,L,-387.2377,31558.77,1,1,3,2604.92041,-292.6839,-19.616633,36435.05,1.0
2060,1561991768,A,L,-40.9703,33763.79,2,1,3,0.06176,-292.6839,-19.616633,36435.05,0.9382
2060,1561993347,R,L,-383.5539,35342.27,3,1,3,0.99981,-292.6839,-19.616633,36435.05,0.0
2060,1561994440,FX,L,-293.4001,36435.05,3,1,4,1.0,-292.6839,-19.616633,36435.05,0.0
2061,1561994440,FE,S,,0.0,0,0,0,,28.1958,0.921378,3247.31,0.0
2061,1561994455,A,S,-0.309,15.89,0,0,0,657.16505,28.1958,0.921378,3247.31,0.0
2061,1561994528,A,S,20.8538,88.48,0,0,0,1.37649,28.1958,0.921378,3247.31,1.0
2061,1561994691,A,S,3.0595,251.75,0,1,0,0.28442,28.1958,0.921378,3247.31,0.0058
2061,1561995034,R,S,109.3894,594.65,0,2,0,0.96922,28.1958,0.921378,3247.31,0.0
2061,1561995652,R,S,79.7821,1212.4,0,2,1,0.98671,28.1958,0.921378,3247.31,0.0
2061,1561996171,A,S,-78.042,1731.72,0,2,2,322.90521,28.1958,0.921378,3247.31,0.8864
2061,1561997543,R,S,-38.6572,3103.23,1,2,2,0.00146,28.1958,0.921378,3247.31,1.0
2061,1561997687,FX,S,-29.4162,3247.31,1,2,3,1.0,28.1958,0.921378,3247.31,0.0
2062,1561997687,FE,L,,0.0,0,0,0,,57.2284,0.000204,364.83,0.0
2062,1561998052,FX,L,72.7414,364.83,0,0,0,1.0,57.2284,0.000204,364.83,0.0
2063,1561998052,FE,S,,0.0,0,0,0,,19.1685,0.178586,549.81,0.0
2063,1561998100,A,S,-15.0415,48.62,0,0,0,996.30332,19.1685,0.178586,549.81,0.3487
2063,1561998155,R,S,29.5367,103.48,1,0,0,0.88388,19.1685,0.178586,549.81,0.1155
