pair,source,d,cost_mode,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
SP500USDT__ES=F,bitget,3,zero,1926,17,0.8008240472554745,-0.11764705882352941,-4.527212050623652,-16.087692788277728,7,1.4653997060660113,0.2857142857142857,10,0.48132584691469416,-0.4
SP500USDT__ES=F,bitget,3,bitget_proxy,1926,17,0.6202841684306195,-0.29936616661171755,-10.335249132444545,-19.460521737284616,7,1.1333072585901132,0.131189736012522,10,0.3809664618189732,-0.6007552984486854
SP500USDT__ES=F,tradfi,3,zero,1926,19,1.3959699603827043,0.2631578947368421,8.731466545473342,-7.820008686253402,11,3.4391609671996317,0.9090909090909091,8,0.29755898071592324,-0.625
SP500USDT__ES=F,bitget,4,zero,1926,8,1.174730457919068,0.125,1.6787963171635223,-10.738959579049954,3,4.07516928,1.0,5,0.46801711071368046,-0.4
SP500USDT__ES=F,bitget,4,bitget_proxy,1926,8,0.9702056629934935,0.0013475912210068053,-0.3264376049372686,-12.070530850596564,3,3.2333920511761374,0.8725306805028863,5,0.3957311383178356,-0.5213622623481208
SP500USDT__ES=F,tradfi,4,zero,1926,11,2.0828061926630252,0.6363636363636364,11.339379416648242,-4.401891104918647,7,4.549427104716102,1.1428571428571428,4,0.43173882007324155,-0.25
NDX100USDT__NQ=F,bitget,3,zero,1926,17,1.351167048416432,0.23529411764705882,6.651209882496545,-13.632624622096646,5,1.3581456869025323,0.2,12,1.3480238057987217,0.25
NDX100USDT__NQ=F,bitget,3,bitget_proxy,1926,17,0.9907287382370291,0.0003043708973466299,-0.21888511350677264,-15.710207202600992,5,1.1614972499546512,0.09384976965306753,12,0.9262089677703944,-0.03867287858420365
NDX100USDT__NQ=F,tradfi,3,zero,1926,22,1.6594358813851229,0.36363636363636365,16.158331292602735,-10.666460399197094,10,1.994341364119908,0.5,12,1.4229214829521046,0.25
NDX100USDT__NQ=F,bitget,4,zero,1926,9,1.5085373910350288,0.3333333333333333,5.00087387937751,-6.970063797468379,4,1.9788048543297632,0.5,5,1.1971263020509386,0.2
NDX100USDT__NQ=F,bitget,4,bitget_proxy,1926,9,1.1593956774093102,0.16254413833241502,1.8757058967507678,-8.303420013100798,4,1.5946477556187473,0.3633519709605266,5,0.8868798496654706,0.0018978722299257456
NDX100USDT__NQ=F,tradfi,4,zero,1926,8,5.737594763497552,1.25,21.521238536355813,-3.823602721152408,3,inf,2.0,5,2.7856265567439245,0.8
