d,liquidity_quintile,symbols,trades,pooled_pf_r,pooled_expectancy_r,median_symbol_pf_r,median_symbol_expectancy_r,pct_symbols_pf_gt_1,median_daily_quote_volume
3,1,20,554,1.0942131616001114,0.06427608026706744,1.1126322094140382,0.07646907852984278,60.0,52411.12061500001
3,2,20,683,1.1958333457115198,0.1285610514729284,1.1399702274083863,0.09191044111019149,55.00000000000001,141009.6495225
3,3,20,793,1.1365438209914458,0.09177648149622478,1.1526450372916148,0.10027802599932586,70.0,286688.555516
3,4,20,740,1.129427015620577,0.08570483837665448,1.1202190636374108,0.07975047218452591,70.0,891591.90286975
3,5,20,830,1.072572688359951,0.05015308499036223,1.0276192780115974,0.019400729345203847,50.0,13139232.471105
4,1,20,231,1.1552517082868548,0.1033092642195056,1.1724069608210486,0.11453721736767877,60.0,52411.12061500001
4,2,20,320,1.1488059170598557,0.09891330693266732,1.1598461200923469,0.10491172562351614,70.0,141009.6495225
4,3,20,380,1.254718259802215,0.1636049400843133,1.1659420253137278,0.10610035920611266,65.0,286688.555516
4,4,20,350,0.9126723521033213,-0.06201654557150229,0.9016061671046878,-0.07015177988489016,45.0,891591.90286975
4,5,20,400,1.0886299825985073,0.060924763445568554,1.0041698108232615,0.0025004658404941277,50.0,13139232.471105
