symbol,d,median_daily_quote_volume,liquidity_quintile,trades,pf_r,expectancy_r
1MBABYDOGEUSDT,3,404528.10124895,3,27,0.5100948510433618,-0.4197025158919208
1MBABYDOGEUSDT,4,404528.10124895,3,17,0.5511480149671785,-0.376694545225594
1MCHEEMSUSDT,3,30059.17335,1,23,1.3773252095710669,0.23333080404115245
1MCHEEMSUSDT,4,30059.17335,1,11,2.2032216003031344,0.588822109844452
AAVEUSDT,3,8475931.217500001,5,45,1.086701195667452,0.05949660794218591
AAVEUSDT,4,8475931.217500001,5,26,0.9644770703806373,-0.025183990309088775
ADAUSDT,3,28809799.2476,5,41,1.4238597326688858,0.2574977414382219
ADAUSDT,4,28809799.2476,5,21,1.3570154760231037,0.2218907967212366
AEONUSDT,3,1322039.8171,4,19,2.1169823155580363,0.5516744600971296
AEONUSDT,4,1322039.8171,4,8,0.2737936578579144,-0.6579007158287832
AEROUSDT,3,876830.41275,4,39,1.0114227276392833,0.008001477136648264
AEROUSDT,4,876830.41275,4,16,0.8511127993654739,-0.10752218804618731
AKTUSDT,3,221962.2672,3,42,0.8186548059407005,-0.13539474785983913
AKTUSDT,4,221962.2672,3,12,1.862569556383009,0.45747149066821086
ALCHUSDT,3,112796.16169000001,2,38,1.2059911567307398,0.13334533851749383
ALCHUSDT,4,112796.16169000001,2,16,0.835910707607915,-0.12114736843226859
ALLOUSDT,3,2318382.541405,5,52,1.3153082310893371,0.19217456295465737
ALLOUSDT,4,2318382.541405,5,24,1.6446426603535602,0.3563528253849178
ANKRUSDT,3,95666.518225,1,45,0.9608421616824084,-0.028408829253442923
ANKRUSDT,4,95666.518225,1,20,0.9680576096807404,-0.02263175836639745
ARKMUSDT,3,254843.83515,3,43,0.9646105760698971,-0.025195826035623533
ARKMUSDT,4,254843.83515,3,21,0.737543846522814,-0.2011175527502471
ARKUSDT,3,41217.164600000004,1,27,0.6143586739493011,-0.3205351926733947
ARKUSDT,4,41217.164600000004,1,7,1.3088323525266599,0.20035329723918943
ASRUSDT,3,27132.0075,1,24,0.7285190162308404,-0.21472602738173127
ASRUSDT,4,27132.0075,1,10,1.1598858666719494,0.1090376870681404
ASTERUSDT,3,2242588.33855,4,35,1.9702515872376873,0.5242818955300501
ASTERUSDT,4,2242588.33855,4,25,1.7933364987559364,0.44686741667080965
ATOMUSDT,3,1458716.2908,4,47,1.3052717462569616,0.19500544835555023
ATOMUSDT,4,1458716.2908,4,20,1.4339005109134864,0.2671592100637457
ATUSDT,3,136908.79320000001,2,27,1.0739492980860326,0.050475543702889154
ATUSDT,4,136908.79320000001,2,13,1.1643787237026624,0.10748012204391841
B2USDT,3,155476.73755000002,2,31,1.320492324234392,0.199823536425881
B2USDT,4,155476.73755000002,2,13,1.1169989473146686,0.07866936151566357
BANANAUSDT,3,72777.120395,1,36,1.4314907593658315,0.2633069472676995
BANANAUSDT,4,72777.120395,1,12,1.2924033741263046,0.18648332335997733
BARDUSDT,3,167199.5302,2,43,1.736071585473982,0.40738652155472943
BARDUSDT,4,167199.5302,2,17,2.0727555609568626,0.5392474009967329
BEATUSDT,3,12525591.89429,5,58,1.3742710905671516,0.22423301774179732
BEATUSDT,4,12525591.89429,5,35,1.8197600600929487,0.43530917535533803
BNBUSDT,3,11506531.4108,5,53,0.916267931996579,-0.06359565482458888
BNBUSDT,4,11506531.4108,5,23,0.726362526597448,-0.22254420774955247
BOMEUSDT,3,469488.0197995,3,37,1.7382518986904887,0.409142543991341
BOMEUSDT,4,469488.0197995,3,23,1.688383830265234,0.3859761689925609
BRETTUSDT,3,291430.64879,3,41,0.5834027435064266,-0.34396274005177296
BRETTUSDT,4,291430.64879,3,16,1.0700422521352229,0.048233036010466704
BROCCOLIUSDT,3,180717.41939999998,2,37,1.4113449979271535,0.24962267186956114
BROCCOLIUSDT,4,180717.41939999998,2,18,1.8774698416034254,0.46334644283426196
BTCUSDT,3,2467756509.229495,5,40,0.6899899063018594,-0.25983659107567697
BTCUSDT,4,2467756509.229495,5,16,0.5291650324090241,-0.43074723581738056
BUSDT,3,585952.68045,4,41,1.4747834910142297,0.2799269229132563
BUSDT,4,585952.68045,4,21,1.1689698836184372,0.10898768759490414
CCUSDT,3,215876.93494,2,30,1.3151881258107174,0.20395755124831513
CCUSDT,4,215876.93494,2,19,2.353555466793438,0.6545998297050272
CGPTUSDT,3,85288.826805,1,33,0.6788747800509731,-0.254297657833539
CGPTUSDT,4,85288.826805,1,11,1.4822593557930084,0.2906499138021661
CHILLGUYUSDT,3,149443.27702500002,2,34,0.8915693746189328,-0.07780927674724829
CHILLGUYUSDT,4,149443.27702500002,2,17,0.4012765715348301,-0.5224448498208192
CHRUSDT,3,95443.1817545,1,17,2.01863932550831,0.5274826026701964
CHRUSDT,4,95443.1817545,1,3,0.8948789800985163,-0.07745484891770087
COMPUSDT,3,298904.58745,3,39,1.0643459876282728,0.04550124697520443
COMPUSDT,4,298904.58745,3,19,1.0002749488828753,0.0001983887283609881
CPUSDT,3,2573665.361205,5,4,0.6344023773510258,-0.28689273947434
CPUSDT,4,2573665.361205,5,1,inf,1.9913196880059687
CVCUSDT,3,41891.557004999995,1,21,2.3984265647162286,0.6575267321840018
CVCUSDT,4,41891.557004999995,1,6,3.545574739902946,0.9451569475349161
DEXEUSDT,3,1859257.0277,4,37,1.170032171302078,0.10882130195933293
DEXEUSDT,4,1859257.0277,4,13,1.201697008642244,0.12766341542873366
DIAUSDT,3,31161.042849999998,1,36,1.169045083539175,0.11070379939983303
DIAUSDT,4,31161.042849999998,1,16,1.44969494600834,0.26743464323552757
DOGEUSDT,3,31329635.3313175,5,47,1.077505072794675,0.05393929126981721
DOGEUSDT,4,31329635.3313175,5,20,0.9367720550879363,-0.04621287177896599
DOODUSDT,3,62583.244927,1,17,0.5688529647543076,-0.3535033585903114
DOODUSDT,4,62583.244927,1,9,0.5393062935072855,-0.37816408151722464
DRIFTUSDT,3,83028.33823,1,40,1.3510594719949407,0.2186850673313628
DRIFTUSDT,4,83028.33823,1,18,1.8334923724367078,0.4510087199307905
EGLDUSDT,3,301139.75525,3,37,1.36831514421391,0.23004380842952418
EGLDUSDT,4,301139.75525,3,15,2.0665465464490445,0.5437162687224112
ENSOUSDT,3,639235.3069500001,4,47,0.7781895352231384,-0.16771820145217844
ENSOUSDT,4,639235.3069500001,4,28,0.504688436878373,-0.4155751605421179
ENSUSDT,3,452835.84705,3,38,1.7684007042063339,0.42669616891734546
ENSUSDT,4,452835.84705,3,21,0.7322702942237652,-0.20672800788895182
ERAUSDT,3,142764.901405,2,25,0.8655304901847489,-0.09835324278940095
ERAUSDT,4,142764.901405,2,12,1.3033323756725657,0.19231833641083898
ETCUSDT,3,1681019.885,4,35,1.050541523356961,0.035244399316542704
ETCUSDT,4,1681019.885,4,16,1.0579071402043005,0.04026292113258287
ETHUSDT,3,1635679871.8452501,5,51,1.2064777620420413,0.1376731417452543
ETHUSDT,4,1635679871.8452501,5,27,0.7203407003892052,-0.22442611569927837
FLUXUSDT,3,48265.92815000001,1,42,1.0985357983737043,0.06734162276587426
FLUXUSDT,4,48265.92815000001,1,13,1.1356506757776144,0.0912559145227826
FOLKSUSDT,3,271619.76989999996,3,40,1.238037308682011,0.1522290599846611
FOLKSUSDT,4,271619.76989999996,3,14,2.498578555268961,0.6769350537894344
GUNUSDT,3,235351.8600405,3,50,1.0417813457681038,0.028537139292536998
GUNUSDT,4,235351.8600405,3,25,1.255545960868767,0.1609314004562129
GUSDT,3,127197.48298500001,2,41,0.5911583689320026,-0.33280220118657955
GUSDT,4,127197.48298500001,2,10,1.826927503427862,0.4462878554550766
HOMEUSDT,3,1112273.205531,4,47,0.9236006650870476,-0.052422582180927435
HOMEUSDT,4,1112273.205531,4,17,0.2785529429933768,-0.6079333195243916
HYPERUSDT,3,170619.73809499998,2,31,2.1947082847326627,0.5891557075259504
HYPERUSDT,4,170619.73809499998,2,21,1.37788250741278,0.2312989547016616
HYPEUSDT,3,85515931.279365,5,47,0.6126772370818373,-0.3184276206931015
HYPEUSDT,4,85515931.279365,5,21,0.8911881773471589,-0.08052503029775436
ICPUSDT,3,2480433.2967299996,5,43,0.9586219362787667,-0.029596705577272318
ICPUSDT,4,2480433.2967299996,5,19,0.47124177279834817,-0.46402889777911255
INITUSDT,3,78733.706575,1,22,0.4115106756707136,-0.5129694905082701
INITUSDT,4,78733.706575,1,18,1.184928054970148,0.12003674766721713
JASMYUSDT,3,451825.44302999997,3,38,1.6303614196562408,0.3618686254014534
JASMYUSDT,4,451825.44302999997,3,16,1.4256671347802585,0.2586032011988718
JSTUSDT,3,258364.26165,3,46,1.0672527659012188,0.04832699201399063
JSTUSDT,4,258364.26165,3,18,1.7152998749390733,0.408854679577697
KATUSDT,3,281946.462242,3,42,1.6292660820970315,0.3635152739454321
KATUSDT,4,281946.462242,3,17,0.9782461580675655,-0.015512926864562666
KAVAUSDT,3,114328.71306000001,2,34,0.8102998778399194,-0.14772860117072295
KAVAUSDT,4,114328.71306000001,2,19,1.0383126267663578,0.026594331627014522
KITEUSDT,3,721422.09091,4,31,0.7447122935280339,-0.19749706660128036
KITEUSDT,4,721422.09091,4,17,0.3899462861384711,-0.5472980663379404
LAUSDT,3,520827.52896,4,16,0.8954359307939627,-0.07236760620012302
LAUSDT,4,520827.52896,4,12,0.40079958259067444,-0.494745963858439
LTCUSDT,3,5438485.5605,5,39,1.0811398456604728,0.05665473858032675
LTCUSDT,4,5438485.5605,5,18,0.885428166283564,-0.08515908072152255
MARSCOINUSDT,3,13752873.04792,5,6,0.9777334832285196,-0.015137832579409519
MARSCOINUSDT,4,13752873.04792,5,2,1.901500796779544,0.472011757092726
METISUSDT,3,60798.153205,1,20,2.179812906618853,0.5875495576344386
METISUSDT,4,60798.153205,1,9,3.657937918279993,0.9585351233239496
NAORISUSDT,3,240696.64826,3,45,1.2478752093826506,0.15735487528768746
NAORISUSDT,4,240696.64826,3,22,1.076338089758689,0.05126931795601242
NILUSDT,3,898242.775715,4,38,1.0921223643379103,0.06161495812112334
NILUSDT,4,898242.775715,4,14,1.878306846447164,0.46289426070717143
OGNUSDT,3,57847.96787,1,24,1.8324499213890757,0.44767707288510367
OGNUSDT,4,57847.96787,1,15,0.9137977459857525,-0.062001989558152594
OPGUSDT,3,353098.5014,3,24,1.8760594652321294,0.46221366785402546
OPGUSDT,4,353098.5014,3,11,3.3039793873468204,0.8795615244808265
OPUSDT,3,1974351.158735,4,32,1.6165279423904453,0.35434251536356687
OPUSDT,4,1974351.158735,4,16,1.449253847805075,0.2695362186359917
PARTIUSDT,3,331855.462682,3,32,1.6608678311014233,0.3704286681153751
PARTIUSDT,4,331855.462682,3,16,3.1515190773512787,0.8473207149136885
PEPEUSDT,3,20824955.24745385,5,44,0.9404318272055912,-0.04258967826792211
PEPEUSDT,4,20824955.24745385,5,22,1.043862551265886,0.03018492199007703
PROMUSDT,3,571350.49852,4,50,0.7942044847173961,-0.15296757173179512
PROMUSDT,4,571350.49852,4,22,0.8884056600265717,-0.07916491962768812
PROSUSDT,3,273677.71684999997,3,48,0.6799467604949238,-0.2508754899101865
PROSUSDT,4,273677.71684999997,3,30,0.9226211633452074,-0.05538500238571097
RESOLVUSDT,3,421405.272595,3,43,1.468833754575214,0.27902609290671954
