symbol,variant,candles,trades,profit_factor,expectancy_r,win_rate,total_return_pct,max_drawdown_pct,longs,shorts,filled,expired
BTCUSDT,1h_d3_e24,2880,29,0.7094254016543314,-0.21615371744969375,31.03448275862069,-13.489189259526736,-24.138435739319927,19,10,29,22
BTCUSDT,1h_d4_e24,2880,11,0.34932369998422574,-0.6416182934867222,18.181818181818183,-13.526722492314057,-14.164425572105136,6,5,11,10
BTCUSDT,15m_d3_e24,11520,93,0.7938647086345404,-0.13535504475182253,36.55913978494624,-25.63260883688424,-39.32872952794299,42,51,93,52
BTCUSDT,15m_d4_e24,11520,54,0.7094918142568826,-0.241950706566811,33.333333333333336,-24.830119466494104,-30.723569154878287,28,26,54,33
BTCUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,1
BTCUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
ETHUSDT,1h_d3_e24,2880,39,1.0401301969249823,0.0508738183768719,38.46153846153846,2.2492706024996645,-17.872716598595378,21,18,39,21
ETHUSDT,1h_d4_e24,2880,23,0.6109738162391352,-0.3306289108946382,26.08695652173913,-14.878864329535624,-19.86678869850534,11,12,23,12
ETHUSDT,15m_d3_e24,11520,116,1.3391546428264711,0.24950731085259142,47.41379310344828,66.5786496191763,-15.698296230350984,53,63,116,64
ETHUSDT,15m_d4_e24,11520,55,1.1397536194743585,0.12555356955227226,43.63636363636363,11.463696879527596,-19.383986851264584,29,26,55,38
ETHUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
ETHUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
SOLUSDT,1h_d3_e24,2880,45,0.8594579689808874,-0.0939765190890925,33.333333333333336,-9.824130852405744,-22.590205133505474,23,22,45,17
SOLUSDT,1h_d4_e24,2880,22,0.9986359476669081,0.020271841862376808,36.36363636363637,0.38954051991983984,-11.306305896130455,13,9,23,8
SOLUSDT,15m_d3_e24,11520,142,0.9331807757536483,-0.02011603928951199,38.732394366197184,-10.325916602527252,-36.158126300775244,64,78,143,70
SOLUSDT,15m_d4_e24,11520,72,0.8467054234863086,-0.11931749969493609,34.72222222222222,-16.397501688343375,-31.28414334030088,33,39,73,39
SOLUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
SOLUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
XRPUSDT,1h_d3_e24,2880,32,0.8755987950682429,-0.06688210898698499,34.375,-5.48438154341524,-21.979432654008175,17,15,32,18
XRPUSDT,1h_d4_e24,2880,16,0.5584168477409068,-0.35628502921491895,25.0,-11.31967458860964,-14.554495569964443,7,9,16,10
XRPUSDT,15m_d3_e24,11520,111,0.8652576232249379,-0.0733036280008361,36.93693693693694,-17.994873075889483,-45.94813519889556,49,62,111,63
XRPUSDT,15m_d4_e24,11520,54,0.6879558358946803,-0.2372524917236714,31.48148148148148,-24.45152922141539,-38.305505449928766,30,24,54,44
XRPUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
XRPUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
DOGEUSDT,1h_d3_e24,2880,34,1.1961269853922532,0.15308662081325308,41.1764705882353,9.259154985641072,-12.594474562643251,20,14,34,16
DOGEUSDT,1h_d4_e24,2880,16,0.9973058631435425,0.02037673663836692,37.5,-0.0629213442746468,-13.875197712495831,9,7,16,7
DOGEUSDT,15m_d3_e24,11520,104,1.3905867585030909,0.22818045892625965,46.15384615384615,52.618256848356594,-24.25588849499276,57,47,104,65
DOGEUSDT,15m_d4_e24,11520,54,1.206660190541372,0.16837769405070377,44.44444444444444,16.7522001556889,-14.068554560145788,30,24,54,40
DOGEUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
DOGEUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
BNBUSDT,1h_d3_e24,2880,40,0.8519574621939588,-0.08689358184786736,35.0,-8.349574371681289,-21.700971324551876,20,20,40,23
BNBUSDT,1h_d4_e24,2880,14,0.42405466282532933,-0.495462649874614,21.428571428571427,-13.408577361607342,-18.99191317417562,7,7,14,14
BNBUSDT,15m_d3_e24,11520,91,0.41680423844282055,-0.5414267864994037,25.274725274725274,-63.634579312087865,-66.27250149895659,50,41,92,46
BNBUSDT,15m_d4_e24,11520,47,0.8492623621585278,-0.10062626007161338,38.297872340425535,-9.97251541877574,-25.489686762855467,26,21,47,34
BNBUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,1
BNBUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
SUIUSDT,1h_d3_e24,2880,41,1.3351713252578852,0.25432746887967606,43.90243902439025,20.85110018843612,-18.32438376498552,20,21,41,17
SUIUSDT,1h_d4_e24,2880,24,1.2453863060532369,0.18397539701603735,41.666666666666664,8.035074871283676,-11.050138089520965,12,12,24,10
SUIUSDT,15m_d3_e24,11520,136,1.0368925877233706,0.04371260392712726,39.705882352941174,7.859298823497385,-36.29450756735884,70,66,137,82
SUIUSDT,15m_d4_e24,11520,64,1.4646463489746797,0.298577125446867,46.875,43.59604207333989,-10.726098822077283,33,31,65,45
SUIUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
SUIUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
PEPEUSDT,1h_d3_e24,2880,37,0.7644498634787767,-0.1799254602796292,29.72972972972973,-13.738471060377833,-28.26399190659144,16,21,37,12
PEPEUSDT,1h_d4_e24,2880,20,0.9519917074923447,-0.014127889564448515,35.0,-1.3972716900897963,-15.851250510190255,8,12,20,7
PEPEUSDT,15m_d3_e24,11520,135,1.0429985185742132,0.050832506568199744,39.25925925925926,9.469428849262652,-39.88085302193782,75,60,136,68
PEPEUSDT,15m_d4_e24,11520,86,1.3865622565288966,0.24604607252232047,45.348837209302324,45.789156410881034,-16.03949819462237,41,45,86,38
PEPEUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
PEPEUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
WIFUSDT,1h_d3_e24,2880,40,0.9524065996457899,-0.01413421727848344,35.0,-2.7792765473895864,-11.056859552546875,20,20,40,18
WIFUSDT,1h_d4_e24,2880,21,1.6102727569595139,0.3644119075962055,47.61904761904762,15.356309037133254,-16.849525785451007,9,12,21,6
WIFUSDT,15m_d3_e24,11520,115,1.1491272549323108,0.13082422851159015,41.73913043478261,27.947981338252113,-20.11890933813138,64,51,115,52
WIFUSDT,15m_d4_e24,11520,48,1.1339860715986,0.12268007930359305,41.666666666666664,10.143505149565812,-22.851583041615907,25,23,48,36
WIFUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
WIFUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
龙虾USDT,1h_d3_e24,2880,33,1.5673032256764483,0.3015154943999332,42.42424242424242,20.271788553737522,-10.997717384033244,15,18,33,14
龙虾USDT,1h_d4_e24,2880,14,0.3144449106767472,-0.5848189824080744,14.285714285714286,-15.448032995158423,-15.912848994452064,3,11,14,12
龙虾USDT,15m_d3_e24,11520,128,0.9604135714455484,-0.009246403608037843,34.375,-7.312207950033322,-24.130262667022993,44,84,128,54
龙虾USDT,15m_d4_e24,11520,50,1.2057478190484254,0.15873385001586143,40.0,14.63707050409917,-11.642306429817486,17,33,50,35
龙虾USDT,15m_d12_e96,11520,1,inf,1.983009175412643,100.0,3.9660183508252844,-1.6403055260666746,0,1,1,0
龙虾USDT,15m_d16_e96,11520,0,,,,,,0,0,0,1
NILUSDT,1h_d3_e24,2880,29,0.962700875005469,-0.007038314670225134,34.48275862068966,-1.5936766471204789,-14.45190017319648,8,21,29,18
NILUSDT,1h_d4_e24,2880,11,1.5205625414063084,0.32452959108107304,45.45454545454545,6.84616729478289,-6.984581499016638,6,5,11,11
NILUSDT,15m_d3_e24,11520,101,0.8720032386663328,-0.07775756772285668,33.663366336633665,-18.924919393067352,-39.17155187360843,60,41,101,54
NILUSDT,15m_d4_e24,11520,53,0.7592992265455205,-0.1694125203747367,30.18867924528302,-18.18510420807896,-34.600777121283976,28,25,53,32
NILUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
NILUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
INITUSDT,1h_d3_e24,2880,15,0.13504907425157633,-0.8614985962015719,6.666666666666667,-23.08270201444883,-23.08270201444883,5,10,15,30
INITUSDT,1h_d4_e24,2880,15,0.4419928280802513,-0.45607627677472773,20.0,-13.227317953877836,-14.665197243880753,3,12,15,7
INITUSDT,15m_d3_e24,11520,40,1.1467724239222368,0.14305779331049354,42.5,9.336443441552355,-20.378098669191502,24,16,40,40
INITUSDT,15m_d4_e24,11520,20,0.4128362704137807,-0.5780890447603303,20.0,-21.25602369751437,-26.143336801647145,10,10,20,21
INITUSDT,15m_d12_e96,11520,0,,,,,,0,0,0,0
INITUSDT,15m_d16_e96,11520,0,,,,,,0,0,0,0
METISUSDT,1h_d3_e24,2880,16,1.7101502555313102,0.42776953195587475,50.0,13.745266502132058,-4.957968221260569,9,7,16,9
METISUSDT,1h_d4_e24,2880,8,5.424941816324482,1.2157560952041426,75.0,20.861449647184305,-3.4737317694842536,2,6,8,7
METISUSDT,15m_d3_e24,11520,23,0.42023814886916017,-0.5335869046314033,21.73913043478261,-22.4804145105014,-29.998016474609297,13,10,23,18
METISUSDT,15m_d4_e24,11520,5,0.988340050661794,-0.01575815699625003,40.0,-0.08660015312303981,-8.514052350850772,2,3,5,11
