symbol,variant,side,sweep_time,entry_time,exit_time,outcome,pnl,r_multiple,fees,known_at,regime,score,bull_votes,bear_votes,positive_1h_pct,positive_4h_pct,positive_24h_pct,median_1h_pct,median_4h_pct,median_24h_pct
TRUMPUSDT,15m_d3_e24,long,2026-05-26 03:00:00+00:00,2026-05-26 04:00:00+00:00,2026-05-26 05:30:00+00:00,target,39.05050086422122,1.952525043211061,0.9494991357787824,2026-05-26 04:00:00+00:00,NEUTRAL,2,2,0,57.446808510638306,,,0.06382259578479044,,
DEXEUSDT,15m_d3_e24,long,2026-05-26 07:45:00+00:00,2026-05-26 09:00:00+00:00,2026-05-26 10:30:00+00:00,stop,-21.9500550543419,-1.0975027527170949,1.0648489647592216,2026-05-26 09:00:00+00:00,NEUTRAL,0,2,2,56.38297872340425,38.297872340425535,,0.06913617973351993,-0.25833972965427776,
AKTUSDT,15m_d3_e24,long,2026-05-26 08:15:00+00:00,2026-05-26 09:15:00+00:00,2026-05-26 14:30:00+00:00,stop,-20.742895861385204,-1.03714479306926,0.4065107547110358,2026-05-26 09:15:00+00:00,BEARISH,-4,0,4,42.5531914893617,38.297872340425535,,-0.06714900490686904,-0.2285479580666272,
BEATUSDT,15m_d3_e24,long,2026-05-26 10:45:00+00:00,2026-05-26 11:45:00+00:00,2026-05-26 12:30:00+00:00,target,39.65358906375414,1.982679453187707,0.3464109362458577,2026-05-26 11:45:00+00:00,NEUTRAL,0,2,2,34.04255319148936,87.2340425531915,,-0.1899892203515996,1.4283635308846798,
VELVETUSDT,15m_d4_e24,short,2026-05-26 10:45:00+00:00,2026-05-26 12:00:00+00:00,2026-05-26 12:15:00+00:00,stop,-23.948021821851004,-1.19740109109255,2.1524700838651234,2026-05-26 12:00:00+00:00,NEUTRAL,0,2,2,20.212765957446805,87.2340425531915,,-0.3424002244259594,1.072397388466928,
DRIFTUSDT,15m_d3_e24,short,2026-05-26 11:30:00+00:00,2026-05-26 12:45:00+00:00,2026-05-26 13:00:00+00:00,target,39.81493834142743,1.9907469170713716,0.1850616585725707,2026-05-26 12:45:00+00:00,NEUTRAL,0,2,2,27.659574468085108,87.2340425531915,,-0.301798468930109,0.8316631435436705,
FLUXUSDT,15m_d4_e24,long,2026-05-26 12:00:00+00:00,2026-05-26 13:15:00+00:00,2026-05-26 15:00:00+00:00,stop,-22.56596890631805,-1.1282984453159028,1.4007446984947474,2026-05-26 13:15:00+00:00,BULLISH,4,4,0,68.08510638297872,90.42553191489363,,0.20024080985837633,1.150149176127302,
TUSDT,15m_d4_e24,long,2026-05-26 09:30:00+00:00,2026-05-26 13:30:00+00:00,2026-05-26 13:45:00+00:00,target,37.07821301775152,1.853910650887576,2.921786982248478,2026-05-26 13:30:00+00:00,NEUTRAL,0,2,2,25.53191489361702,80.85106382978722,,-0.26212588886683763,0.5533692048871552,
KAVAUSDT,15m_d3_e24,long,2026-05-26 09:45:00+00:00,2026-05-26 13:30:00+00:00,2026-05-26 13:45:00+00:00,target,38.38433397925453,1.9192166989627264,1.6156660207454734,2026-05-26 13:30:00+00:00,NEUTRAL,0,2,2,25.53191489361702,80.85106382978722,,-0.26212588886683763,0.5533692048871552,
TOWNSUSDT,15m_d4_e24,long,2026-05-26 09:45:00+00:00,2026-05-26 13:30:00+00:00,2026-05-26 13:45:00+00:00,target,39.18856224003246,1.959428112001623,0.8114377599675422,2026-05-26 13:30:00+00:00,NEUTRAL,0,2,2,25.53191489361702,80.85106382978722,,-0.26212588886683763,0.5533692048871552,
SFPUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-22.14250161074299,-1.1071250805371495,1.1698019172862315,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
AAVEUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-23.80251020991602,-1.1901255104958008,2.0751067819804736,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
1MBABYDOGEUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:30:00+00:00,stop,-23.118109494192545,-1.1559054747096271,1.7018609459930232,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
BTCUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 14:45:00+00:00,stop,-24.96779016762968,-1.248389508381484,2.7106056673323287,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
WIFUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-22.40531040852201,-1.1202655204261005,1.3131277309189684,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
ETCUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-23.448294640195755,-1.1724147320097875,1.881931229409313,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
TRBUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-23.14276826636629,-1.1571384133183142,1.7153088922370323,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
AEROUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:15:00+00:00,stop,-22.36600727811468,-1.1183003639057338,1.2916933147519107,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
JASMYUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-23.733756250224797,-1.1866878125112397,2.037611015870251,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
BRETTUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 14:45:00+00:00,stop,-21.836418196620446,-1.0918209098310223,1.0028757917556494,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
ALCHUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-25.75470376119005,-1.2877351880595027,3.1397580853976,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
SOLUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 14:45:00+00:00,stop,-24.506568521517245,-1.2253284260758623,2.4590731149491862,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
SUIUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 15:00:00+00:00,stop,-22.14330419011364,-1.107165209505682,1.1702396132167907,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
PEPEUSDT,15m_d3_e24,long,2026-05-26 13:30:00+00:00,2026-05-26 14:30:00+00:00,2026-05-26 14:45:00+00:00,stop,-23.074027389978767,-1.1537013694989384,1.6778202612577011,2026-05-26 14:30:00+00:00,BULLISH,4,4,0,91.48936170212765,86.17021276595744,,1.1597748905911587,0.791182353120834,
ANKRUSDT,15m_d4_e24,long,2026-05-26 10:00:00+00:00,2026-05-26 15:00:00+00:00,2026-05-26 16:00:00+00:00,stop,-25.61509528021904,-1.2807547640109518,3.0636209876507907,2026-05-26 15:00:00+00:00,BEARISH,-4,0,4,25.53191489361702,26.595744680851062,,-0.3091584334373343,-0.4075441893220011,
ASTERUSDT,15m_d3_e24,long,2026-05-26 09:30:00+00:00,2026-05-26 15:00:00+00:00,2026-05-26 16:00:00+00:00,stop,-25.095123746399647,-1.2547561873199824,2.7800485053732102,2026-05-26 15:00:00+00:00,BEARISH,-4,0,4,25.53191489361702,26.595744680851062,,-0.3091584334373343,-0.4075441893220011,
LTCUSDT,15m_d3_e24,long,2026-05-26 09:45:00+00:00,2026-05-26 15:15:00+00:00,2026-05-26 15:30:00+00:00,stop,-27.361676023730016,-1.368083801186501,4.016138971274004,2026-05-26 15:15:00+00:00,BEARISH,-4,0,4,15.957446808510639,24.46808510638298,,-0.6093659623390646,-0.4609003928415567,
