entry_time,rows,unique_symbols,unique_signal_times,duplicate_rows,expected_signal_time,timing_ok
2025-12-18 20:00:00+00:00,208,208,1,0,2025-12-18 16:00:00+00:00,True
2026-01-31 16:00:00+00:00,190,190,1,0,2026-01-31 12:00:00+00:00,True
2025-12-17 20:00:00+00:00,187,187,1,0,2025-12-17 16:00:00+00:00,True
2025-12-15 16:00:00+00:00,163,163,1,0,2025-12-15 12:00:00+00:00,True
2026-02-05 16:00:00+00:00,161,161,1,0,2026-02-05 12:00:00+00:00,True
2026-06-02 16:00:00+00:00,110,110,1,0,2026-06-02 12:00:00+00:00,True
2026-06-04 04:00:00+00:00,109,109,1,0,2026-06-04 00:00:00+00:00,True
2026-01-29 16:00:00+00:00,108,108,1,0,2026-01-29 12:00:00+00:00,True
2026-06-05 04:00:00+00:00,105,105,1,0,2026-06-05 00:00:00+00:00,True
2026-07-29 04:00:00+00:00,95,95,1,0,2026-07-29 00:00:00+00:00,True
2026-06-05 08:00:00+00:00,94,94,1,0,2026-06-05 04:00:00+00:00,True
2026-06-24 16:00:00+00:00,92,92,1,0,2026-06-24 12:00:00+00:00,True
2026-01-31 12:00:00+00:00,82,82,1,0,2026-01-31 08:00:00+00:00,True
2025-12-12 16:00:00+00:00,79,79,1,0,2025-12-12 12:00:00+00:00,True
2026-01-25 20:00:00+00:00,79,79,1,0,2026-01-25 16:00:00+00:00,True
2026-05-28 04:00:00+00:00,79,79,1,0,2026-05-28 00:00:00+00:00,True
2026-02-06 00:00:00+00:00,72,72,1,0,2026-02-05 20:00:00+00:00,True
2025-12-11 04:00:00+00:00,68,68,1,0,2025-12-11 00:00:00+00:00,True
2026-02-05 20:00:00+00:00,64,64,1,0,2026-02-05 16:00:00+00:00,True
2026-07-27 16:00:00+00:00,63,63,1,0,2026-07-27 12:00:00+00:00,True
2026-07-28 00:00:00+00:00,62,62,1,0,2026-07-27 20:00:00+00:00,True
2026-06-05 16:00:00+00:00,61,61,1,0,2026-06-05 12:00:00+00:00,True
2026-01-31 20:00:00+00:00,58,58,1,0,2026-01-31 16:00:00+00:00,True
2026-02-28 08:00:00+00:00,58,58,1,0,2026-02-28 04:00:00+00:00,True
2026-06-24 20:00:00+00:00,56,56,1,0,2026-06-24 16:00:00+00:00,True
2025-12-14 20:00:00+00:00,54,54,1,0,2025-12-14 16:00:00+00:00,True
2026-08-18 04:00:00+00:00,53,53,1,0,2026-08-18 00:00:00+00:00,True
2026-01-30 04:00:00+00:00,52,52,1,0,2026-01-30 00:00:00+00:00,True
2026-02-05 12:00:00+00:00,52,52,1,0,2026-02-05 08:00:00+00:00,True
2026-06-23 08:00:00+00:00,52,52,1,0,2026-06-23 04:00:00+00:00,True
2026-03-27 12:00:00+00:00,49,49,1,0,2026-03-27 08:00:00+00:00,True
2026-02-23 04:00:00+00:00,46,46,1,0,2026-02-23 00:00:00+00:00,True
2025-12-17 16:00:00+00:00,41,41,1,0,2025-12-17 12:00:00+00:00,True
2025-12-15 00:00:00+00:00,39,39,1,0,2025-12-14 20:00:00+00:00,True
2026-05-28 00:00:00+00:00,37,37,1,0,2026-05-27 20:00:00+00:00,True
2026-06-18 16:00:00+00:00,37,37,1,0,2026-06-18 12:00:00+00:00,True
2026-03-28 04:00:00+00:00,34,34,1,0,2026-03-28 00:00:00+00:00,True
2026-07-29 16:00:00+00:00,33,33,1,0,2026-07-29 12:00:00+00:00,True
2025-12-15 20:00:00+00:00,29,29,1,0,2025-12-15 16:00:00+00:00,True
2026-01-19 04:00:00+00:00,29,29,1,0,2026-01-19 00:00:00+00:00,True
2026-06-25 16:00:00+00:00,27,27,1,0,2026-06-25 12:00:00+00:00,True
2026-06-03 00:00:00+00:00,26,26,1,0,2026-06-02 20:00:00+00:00,True
2026-04-02 04:00:00+00:00,25,25,1,0,2026-04-02 00:00:00+00:00,True
2026-05-18 00:00:00+00:00,25,25,1,0,2026-05-17 20:00:00+00:00,True
2026-08-13 00:00:00+00:00,25,25,1,0,2026-08-12 20:00:00+00:00,True
2025-12-31 20:00:00+00:00,24,24,1,0,2025-12-31 16:00:00+00:00,True
2026-01-29 04:00:00+00:00,24,24,1,0,2026-01-29 00:00:00+00:00,True
2026-06-10 12:00:00+00:00,24,24,1,0,2026-06-10 08:00:00+00:00,True
2026-02-05 08:00:00+00:00,23,23,1,0,2026-02-05 04:00:00+00:00,True
2026-05-23 08:00:00+00:00,23,23,1,0,2026-05-23 04:00:00+00:00,True
2026-08-11 16:00:00+00:00,23,23,1,0,2026-08-11 12:00:00+00:00,True
2025-12-18 04:00:00+00:00,22,22,1,0,2025-12-18 00:00:00+00:00,True
2026-03-22 20:00:00+00:00,22,22,1,0,2026-03-22 16:00:00+00:00,True
2026-03-29 16:00:00+00:00,22,22,1,0,2026-03-29 12:00:00+00:00,True
2026-06-05 20:00:00+00:00,22,22,1,0,2026-06-05 16:00:00+00:00,True
2026-07-29 20:00:00+00:00,22,22,1,0,2026-07-29 16:00:00+00:00,True
2026-02-28 12:00:00+00:00,21,21,1,0,2026-02-28 08:00:00+00:00,True
2026-03-08 04:00:00+00:00,21,21,1,0,2026-03-08 00:00:00+00:00,True
2026-03-22 00:00:00+00:00,21,21,1,0,2026-03-21 20:00:00+00:00,True
2026-03-30 00:00:00+00:00,21,21,1,0,2026-03-29 20:00:00+00:00,True
2026-03-29 00:00:00+00:00,20,20,1,0,2026-03-28 20:00:00+00:00,True
2026-08-14 08:00:00+00:00,20,20,1,0,2026-08-14 04:00:00+00:00,True
2025-12-14 12:00:00+00:00,19,19,1,0,2025-12-14 08:00:00+00:00,True
2026-07-13 20:00:00+00:00,19,19,1,0,2026-07-13 16:00:00+00:00,True
2026-01-31 08:00:00+00:00,18,18,1,0,2026-01-31 04:00:00+00:00,True
2026-02-04 16:00:00+00:00,18,18,1,0,2026-02-04 12:00:00+00:00,True
2026-02-23 20:00:00+00:00,18,18,1,0,2026-02-23 16:00:00+00:00,True
2026-03-29 12:00:00+00:00,18,18,1,0,2026-03-29 08:00:00+00:00,True
2026-06-03 04:00:00+00:00,18,18,1,0,2026-06-03 00:00:00+00:00,True
2026-06-30 12:00:00+00:00,18,18,1,0,2026-06-30 08:00:00+00:00,True
2026-03-26 20:00:00+00:00,17,17,1,0,2026-03-26 16:00:00+00:00,True
2026-06-09 04:00:00+00:00,17,17,1,0,2026-06-09 00:00:00+00:00,True
2026-08-14 12:00:00+00:00,17,17,1,0,2026-08-14 08:00:00+00:00,True
2025-12-18 08:00:00+00:00,16,16,1,0,2025-12-18 04:00:00+00:00,True
2026-03-26 12:00:00+00:00,16,16,1,0,2026-03-26 08:00:00+00:00,True
2026-06-11 00:00:00+00:00,16,16,1,0,2026-06-10 20:00:00+00:00,True
2026-08-03 04:00:00+00:00,16,16,1,0,2026-08-03 00:00:00+00:00,True
2026-01-29 12:00:00+00:00,15,15,1,0,2026-01-29 08:00:00+00:00,True
2026-02-24 08:00:00+00:00,15,15,1,0,2026-02-24 04:00:00+00:00,True
2026-05-26 20:00:00+00:00,15,15,1,0,2026-05-26 16:00:00+00:00,True
2026-08-17 00:00:00+00:00,15,15,1,0,2026-08-16 20:00:00+00:00,True
2025-12-14 16:00:00+00:00,14,14,1,0,2025-12-14 12:00:00+00:00,True
2026-04-05 08:00:00+00:00,14,14,1,0,2026-04-05 04:00:00+00:00,True
2026-05-15 16:00:00+00:00,14,14,1,0,2026-05-15 12:00:00+00:00,True
2026-05-27 04:00:00+00:00,14,14,1,0,2026-05-27 00:00:00+00:00,True
2026-06-30 16:00:00+00:00,14,14,1,0,2026-06-30 12:00:00+00:00,True
2026-08-01 20:00:00+00:00,14,14,1,0,2026-08-01 16:00:00+00:00,True
2025-12-26 00:00:00+00:00,13,13,1,0,2025-12-25 20:00:00+00:00,True
2026-03-23 08:00:00+00:00,13,13,1,0,2026-03-23 04:00:00+00:00,True
2026-07-13 04:00:00+00:00,13,13,1,0,2026-07-13 00:00:00+00:00,True
2026-07-24 16:00:00+00:00,13,13,1,0,2026-07-24 12:00:00+00:00,True
2026-08-12 20:00:00+00:00,13,13,1,0,2026-08-12 16:00:00+00:00,True
2025-12-14 08:00:00+00:00,12,12,1,0,2025-12-14 04:00:00+00:00,True
2025-12-17 04:00:00+00:00,12,12,1,0,2025-12-17 00:00:00+00:00,True
2025-12-17 08:00:00+00:00,12,12,1,0,2025-12-17 04:00:00+00:00,True
2026-03-26 08:00:00+00:00,12,12,1,0,2026-03-26 04:00:00+00:00,True
2026-05-16 08:00:00+00:00,12,12,1,0,2026-05-16 04:00:00+00:00,True
2026-05-26 04:00:00+00:00,12,12,1,0,2026-05-26 00:00:00+00:00,True
2026-07-17 08:00:00+00:00,12,12,1,0,2026-07-17 04:00:00+00:00,True
2026-02-05 04:00:00+00:00,11,11,1,0,2026-02-05 00:00:00+00:00,True
2026-05-28 08:00:00+00:00,11,11,1,0,2026-05-28 04:00:00+00:00,True
2026-06-01 16:00:00+00:00,11,11,1,0,2026-06-01 12:00:00+00:00,True
2026-06-04 12:00:00+00:00,11,11,1,0,2026-06-04 08:00:00+00:00,True
2026-06-09 16:00:00+00:00,11,11,1,0,2026-06-09 12:00:00+00:00,True
2026-06-10 20:00:00+00:00,11,11,1,0,2026-06-10 16:00:00+00:00,True
2026-07-08 04:00:00+00:00,11,11,1,0,2026-07-08 00:00:00+00:00,True
2026-01-21 00:00:00+00:00,10,10,1,0,2026-01-20 20:00:00+00:00,True
