symbol,n,signal,stop_atr,rr,signal_time,entry_time,r_net,reason
AINUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.015584496124031,SL
AIUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0248678998911862,SL
AIXBTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0215692793266702,SL
ATHUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,0.0257996275605237,TIME
AVAAIUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0173213793103448,SL
AVNTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,0.3331852372583463,TIME
BASUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0232606189967983,SL
BERAUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,1.5996075471698146,TIME
BLURUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0325675153643548,SL
BMTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0289225603357817,SL
BROCCOLIF3BUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0251672868887929,SL
BTRUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0205651877133106,SL
COSUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0350723004694835,SL
COTIUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0247926335174955,SL
DEGOUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-0.5610308300395246,TIME
DODOXUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0393332873404624,SL
DOLOUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0259585062240664,SL
EIGENUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.014694059116184,SL
EPTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0164184808144088,SL
EULUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0274995073891624,SL
FLOCKUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0312164102564103,SL
FORMUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-0.1514938530734608,TIME
FUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.027810704225352,SL
FXSUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.03253100990099,SL
GHSTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0314039215686277,SL
GRTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.031168607594937,SL
HAEDALUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.029670066518847,SL
INITUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0276558659217876,SL
IOUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0187440414507771,SL
IPUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0228975206611572,SL
JTOUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-0.5397177877429008,TIME
KERNELUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.029410071942446,SL
KOMAUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-0.1495260869565237,TIME
KSMUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0267128044971892,SL
LPTUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0322056224899598,SL
LUMIAUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.028161419068736,SL
MANAUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.030689265536723,SL
MANTAUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.024136434108527,SL
MASKUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0315645852749302,SL
MEMEUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0255932914046122,SL
METUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,0.7854209737827706,TIME
MEUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,0.6436276797829035,TIME
MORPHOUSDT,320,FIRST_BREAKDOWN,1.0,3.0,2025-12-11 00:00:00+00:00,2025-12-11 04:00:00+00:00,-1.0268923327895596,SL
