entry_time,rows,unique_symbols,unique_signal_times,duplicate_rows,expected_signal_time,timing_ok
2025-12-18 20:00:00+00:00,208,208,1,0,2025-12-18 16:00:00+00:00,True
2026-01-31 16:00:00+00:00,190,190,1,0,2026-01-31 12:00:00+00:00,True
2025-12-17 20:00:00+00:00,187,187,1,0,2025-12-17 16:00:00+00:00,True
2025-12-15 16:00:00+00:00,163,163,1,0,2025-12-15 12:00:00+00:00,True
2026-02-05 16:00:00+00:00,161,161,1,0,2026-02-05 12:00:00+00:00,True
2026-06-02 16:00:00+00:00,110,110,1,0,2026-06-02 12:00:00+00:00,True
2026-06-04 04:00:00+00:00,109,109,1,0,2026-06-04 00:00:00+00:00,True
2026-01-29 16:00:00+00:00,108,108,1,0,2026-01-29 12:00:00+00:00,True
2026-06-05 04:00:00+00:00,105,105,1,0,2026-06-05 00:00:00+00:00,True
2026-07-29 04:00:00+00:00,95,95,1,0,2026-07-29 00:00:00+00:00,True
2026-06-05 08:00:00+00:00,94,94,1,0,2026-06-05 04:00:00+00:00,True
2026-06-24 16:00:00+00:00,92,92,1,0,2026-06-24 12:00:00+00:00,True
2026-01-31 12:00:00+00:00,82,82,1,0,2026-01-31 08:00:00+00:00,True
2026-01-25 20:00:00+00:00,79,79,1,0,2026-01-25 16:00:00+00:00,True
2025-12-12 16:00:00+00:00,79,79,1,0,2025-12-12 12:00:00+00:00,True
2026-05-28 04:00:00+00:00,79,79,1,0,2026-05-28 00:00:00+00:00,True
2026-02-06 00:00:00+00:00,72,72,1,0,2026-02-05 20:00:00+00:00,True
2025-12-11 04:00:00+00:00,68,68,1,0,2025-12-11 00:00:00+00:00,True
2026-02-05 20:00:00+00:00,64,64,1,0,2026-02-05 16:00:00+00:00,True
2026-07-27 16:00:00+00:00,63,63,1,0,2026-07-27 12:00:00+00:00,True
