min_signals,events,trades,pf_trade,avg_r_trade,sum_r,avg_event_r,median_event_r,positive_event_rate
1,929,6375,1.2035292517512988,0.11634014332751316,741.6684137128964,-0.04432838943082157,-0.292261742899255,0.40043057050592035
2,560,6006,1.218632338718331,0.12445159527658575,747.456281231174,-0.0632021540409935,-0.23515143492510177,0.39464285714285713
4,308,5418,1.262287717976958,0.14724567364709987,797.777059819987,-0.031055374195410518,-0.3291160392044868,0.36363636363636365
6,199,4947,1.2773546234781967,0.154043802660501,762.0546917614984,-0.09424628497238001,-0.41335638541874786,0.33668341708542715
11,106,4274,1.3938343677983382,0.21390769335153523,914.2414813844615,0.024068144248137576,-0.3477882509559379,0.39622641509433965
21,60,3603,1.4728710847097604,0.25223027005998633,908.7856630261308,0.01789022400430901,-0.3477882509559379,0.38333333333333336
31,38,3082,1.6540932063850795,0.33313916357485707,1026.7349021377095,0.16200097032517208,-0.16542909258495536,0.4473684210526316
41,33,2902,1.7525715034654448,0.37481613975179384,1087.7164375597058,0.23883148279889033,-0.02315701442701704,0.48484848484848486
51,30,2766,1.786012838108815,0.3922368964549159,1084.9272555942973,0.2580311567992001,-0.024729525790302936,0.4666666666666667
61,22,2331,2.011626974059737,0.47234857596531044,1101.0445305751387,0.35470480043520736,-0.010109703632549158,0.5
81,13,1704,3.0638396900579457,0.7898065944306063,1345.8304369097532,0.8440116670881613,0.9352948730477082,0.6153846153846154
101,9,1341,2.8324730044665576,0.7437014431397638,997.3036352504233,0.7643852446351871,0.9352948730477082,0.5555555555555556
151,5,909,2.796615554335848,0.7922067020313158,720.1158921464661,0.855460313166925,0.9352948730477082,0.6
