candidate,symbol,d,source,cost_mult,start,end,candles,trades,pf,expectancy_r,return_pct,max_dd_pct
ETH_D3,ETHUSDT,3,full_history,1.0,2019-08-10 07:00:00+00:00,2026-09-23 01:00:00+00:00,62419,987,1.131398851064899,0.12354289416501266,631.5564778490558,-38.12200776968512
ETH_D3,ETHUSDT,3,full_history,1.25,2019-08-10 07:00:00+00:00,2026-09-23 01:00:00+00:00,62419,987,1.097630216950177,0.10123737201666708,368.5379076232462,-43.98134360416838
ETH_D3,ETHUSDT,3,full_history,1.5,2019-08-10 07:00:00+00:00,2026-09-23 01:00:00+00:00,62419,987,1.0664970674352745,0.07893194733717299,199.97742918341154,-50.55839381450703
ETH_D3,ETHUSDT,3,full_history,2.0,2019-08-10 07:00:00+00:00,2026-09-23 01:00:00+00:00,62419,987,1.0114372936980442,0.03432139038472134,22.833194737175223,-61.72732951175116
BTC_D3,BTCUSDT,3,full_history,1.0,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,931,1.0553612870403652,0.0529128689691452,72.46774784008186,-57.11062904133303
BTC_D3,BTCUSDT,3,full_history,1.25,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,931,1.0010078885485485,0.024505781297956167,1.040036403828637,-67.39455343216387
BTC_D3,BTCUSDT,3,full_history,1.5,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,931,0.951039233116128,-0.003901303578980769,-40.83686984158169,-77.60857241432251
BTC_D3,BTCUSDT,3,full_history,2.0,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,931,0.8635780079768248,-0.060715464950125746,-79.74743702839034,-89.45155034623549
BTC_D4,BTCUSDT,4,full_history,1.0,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,425,1.1244434209826433,0.08760282860561497,71.25147474288018,-45.706573994422875
BTC_D4,BTCUSDT,4,full_history,1.25,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,425,1.0657973016778035,0.059474221413127124,34.60314027277494,-47.653505485966356
BTC_D4,BTCUSDT,4,full_history,1.5,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,425,1.0119044610222516,0.03134563001536348,5.772522768843813,-52.56409486803556
BTC_D4,BTCUSDT,4,full_history,2.0,2019-07-10 11:00:00+00:00,2026-09-23 01:00:00+00:00,63159,425,0.9167363720647015,-0.02491150539601619,-34.7324384711922,-64.3391220026557
XRP_D3,XRPUSDT,3,liquid_730d,1.0,2024-09-23 00:00:00+00:00,2026-09-22 23:00:00+00:00,17520,292,1.135151209777058,0.11103658246422647,67.76103997395421,-32.954848030593624
XRP_D3,XRPUSDT,3,liquid_730d,1.25,2024-09-23 00:00:00+00:00,2026-09-22 23:00:00+00:00,17520,292,1.1011281056579847,0.0908512373478013,48.89183001314778,-33.820242134197656
XRP_D3,XRPUSDT,3,liquid_730d,1.5,2024-09-23 00:00:00+00:00,2026-09-22 23:00:00+00:00,17520,292,1.0689037870226241,0.07066617813017112,32.13533897608733,-34.675085196733804
XRP_D3,XRPUSDT,3,liquid_730d,2.0,2024-09-23 00:00:00+00:00,2026-09-22 23:00:00+00:00,17520,292,1.0093070305624483,0.030296917391286808,4.044727786637026,-36.542633263312865
NDX_D4,NDX100USDT,4,ndx_common,1.0,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00,1926,9,1.1593956774093102,0.16254413833241502,1.8757058967507678,-8.303420013100798
NDX_D4,NDX100USDT,4,ndx_common,1.25,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00,1926,9,1.0904140488303462,0.11984425007779564,1.1071645113401862,-8.820900664073825
NDX_D4,NDX100USDT,4,ndx_common,1.5,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00,1926,9,1.0270153093931824,0.07714332602145059,0.3436662929404255,-9.336029783343475
NDX_D4,NDX100USDT,4,ndx_common,2.0,2026-05-22 06:00:00+00:00,2026-09-22 23:00:00+00:00,1926,9,0.9145090197137049,-0.00826162949648294,-1.1683137285935952,-10.359266188042001
