candidate,freq,period,trades,pf,expectancy_r,wins,losses
ETH_D3,M,2019-08,3,0.8154272933786432,-0.14660364421302532,1,2
ETH_D3,M,2019-09,11,1.4613928005586392,0.28232531938613276,5,6
ETH_D3,M,2019-10,11,1.4456625851512372,0.27555104497413485,5,6
ETH_D3,M,2019-11,13,1.4621951648007958,0.2854761641936739,6,7
ETH_D3,M,2019-12,6,0.3440820437878368,-0.6299102171136196,1,5
ETH_D3,M,2020-01,8,1.0534859671229577,0.037795195300618506,3,5
ETH_D3,M,2020-02,9,2.2602312576061196,0.6126673003093371,5,4
ETH_D3,M,2020-03,9,3.677836334758572,0.9592398629112542,6,3
ETH_D3,M,2020-04,9,1.479652435286183,0.284966889235205,4,5
ETH_D3,M,2020-05,7,0.30024200490379604,-0.6626119345032627,1,6
ETH_D3,M,2020-06,13,1.4153253521255222,0.2639052628452312,6,7
ETH_D3,M,2020-07,11,0.6390525933650133,-0.30093488708574195,3,8
ETH_D3,M,2020-08,11,0.6580855885430885,-0.27995424278800013,3,8
ETH_D3,M,2020-09,13,1.1190664618741106,0.08096716201053991,5,8
ETH_D3,M,2020-10,14,0.9949386348090618,-0.00356710282520023,5,9
ETH_D3,M,2020-11,15,5.06000676792422,1.1610862710065675,11,4
ETH_D3,M,2020-12,11,0.6801005385138773,-0.2531930312571623,3,8
ETH_D3,M,2021-01,15,1.6767816187219884,0.37363102682155674,7,8
ETH_D3,M,2021-02,14,0.7495897056219327,-0.18956300361039352,4,10
ETH_D3,M,2021-03,14,1.345534079407205,0.21679421910238952,6,8
ETH_D3,M,2021-04,11,0.6921971794111549,-0.23966079832465528,3,8
ETH_D3,M,2021-05,13,1.180828011480071,0.11691688881822258,5,8
ETH_D3,M,2021-06,11,0.6942975002471206,-0.23764214322426766,3,8
ETH_D3,M,2021-07,16,1.8143041014952175,0.44359017174881815,8,8
ETH_D3,M,2021-08,9,0.906389046505835,-0.06775688398135876,3,6
ETH_D3,M,2021-09,11,3.1953739408963338,0.8626447319080408,7,4
ETH_D3,M,2021-10,11,4.7521581941762125,1.1331262886856328,8,3
ETH_D3,M,2021-11,12,0.5816775886876445,-0.3532176325890253,3,9
ETH_D3,M,2021-12,24,1.2611004695742931,0.17017024216759732,10,14
ETH_D3,M,2022-01,12,1.786235262055283,0.4349476173532361,6,6
ETH_D3,M,2022-02,12,1.812961534337345,0.4415843433799644,6,6
ETH_D3,M,2022-03,8,1.0740230872376257,0.05081996646630477,3,5
ETH_D3,M,2022-04,10,0.7545372175727467,-0.19202187636084483,3,7
ETH_D3,M,2022-05,15,0.2754627750514216,-0.6912209155489968,2,13
ETH_D3,M,2022-06,9,0.9192737448542321,-0.05757956081739876,3,6
ETH_D3,M,2022-07,6,0.36466342843744715,-0.5767267709993162,1,5
ETH_D3,M,2022-08,10,1.7608582199280003,0.4268197656339356,5,5
ETH_D3,M,2022-09,12,0.9170329114666832,-0.059843126423103986,4,8
ETH_D3,M,2022-10,9,0.4717148424808041,-0.483499075492188,2,7
ETH_D3,M,2022-11,5,0.45912702967746616,-0.4669704025196807,1,4
ETH_D3,M,2022-12,13,1.8501713093968801,0.4821560596784295,7,6
ETH_D3,M,2023-01,4,5.209753177868142,1.1669440954327015,3,1
ETH_D3,M,2023-02,11,0.38348770775370594,-0.5735684401891556,2,9
ETH_D3,M,2023-03,12,1.6984831572138441,0.4061566247558486,6,6
ETH_D3,M,2023-04,5,0.40783259278644324,-0.5483429402429483,1,4
ETH_D3,M,2023-05,11,0.987029487140529,-0.009299813311179178,4,7
ETH_D3,M,2023-06,8,2.5207532779568798,0.7303733141577758,5,3
ETH_D3,M,2023-07,12,1.1440012833104711,0.10242513630471212,5,7
ETH_D3,M,2023-08,15,0.7265693254113851,-0.23874729414941198,5,10
ETH_D3,M,2023-09,14,1.163981615989258,0.11497262270171552,6,8
ETH_D3,M,2023-10,9,1.205043337875602,0.14731644587937606,4,5
ETH_D3,M,2023-11,15,1.132396373851421,0.0914469881065754,6,9
ETH_D3,M,2023-12,9,2.233827670009479,0.6050174847230987,5,4
ETH_D3,M,2024-01,12,1.2193132015340715,0.14684393632699563,5,7
ETH_D3,M,2024-02,9,1.3143847000498365,0.20938457048326994,4,5
ETH_D3,M,2024-03,7,0.29694135350596873,-0.6716274634392667,1,6
ETH_D3,M,2024-04,13,1.51410619811095,0.308016718876667,6,7
ETH_D3,M,2024-05,9,3.556008805487191,0.9464775009255546,6,3
ETH_D3,M,2024-06,7,1.2567061343039565,0.1701432017105978,3,4
ETH_D3,M,2024-07,14,1.2710188451398199,0.17988680938756113,6,8
ETH_D3,M,2024-08,12,2.51962700035447,0.6949322030708899,7,5
ETH_D3,M,2024-09,12,0.89040907192398,-0.08075624320371101,4,8
ETH_D3,M,2024-10,12,1.7869711013957768,0.43284721456755465,6,6
ETH_D3,M,2024-11,11,1.0217359945968343,0.01518120790416656,4,7
ETH_D3,M,2024-12,13,1.0983287906462402,0.06809158532144914,5,8
ETH_D3,M,2025-01,10,2.528490783726618,0.7133894584870043,6,4
ETH_D3,M,2025-02,8,0.6225558378226848,-0.3006516194950928,2,6
ETH_D3,M,2025-03,14,0.6885801067167842,-0.25424321825944146,4,10
ETH_D3,M,2025-04,21,1.1062803682492506,0.07231351842086747,8,13
ETH_D3,M,2025-05,11,0.6607819122154578,-0.2767130740380997,3,8
ETH_D3,M,2025-06,15,1.1865582108978496,0.12355753840387404,6,9
ETH_D3,M,2025-07,14,1.7742766759857982,0.4272071958213778,7,7
ETH_D3,M,2025-08,9,0.5147733038075173,-0.41577184120529104,2,7
ETH_D3,M,2025-09,18,1.3148253135298293,0.20857039162295132,8,10
ETH_D3,M,2025-10,14,0.6992368562275668,-0.24161389257933777,4,10
ETH_D3,M,2025-11,15,1.530516394270905,0.31990905328723057,7,8
ETH_D3,M,2025-12,12,1.2773542335672738,0.1786283931376654,5,7
ETH_D3,M,2026-01,9,0.2113917392577782,-0.8049242155467548,1,8
ETH_D3,M,2026-02,14,1.384093928512768,0.2344458526694149,6,8
ETH_D3,M,2026-03,14,1.718301379627858,0.4103192006737183,7,7
ETH_D3,M,2026-04,12,0.33174629185061105,-0.6528921059479813,2,10
ETH_D3,M,2026-05,16,2.752415614189459,0.7692017514543363,10,6
ETH_D3,M,2026-06,15,0.8676193052719484,-0.09930688239917598,5,10
ETH_D3,M,2026-07,15,1.5353502756035766,0.3201288107854135,7,8
ETH_D3,M,2026-08,11,0.9512415239585023,-0.03613731541841252,4,7
ETH_D3,M,2026-09,8,1.049900199289421,0.03512035799429014,3,5
ETH_D3,Q,2019Q3,14,1.2924999212399995,0.19041197004345603,6,8
ETH_D3,Q,2019Q4,30,1.1438748561074374,0.0987596775517175,12,18
ETH_D3,Q,2020Q1,26,2.090330844573448,0.5557510012073179,14,12
ETH_D3,Q,2020Q2,29,1.0670684471435536,0.046799547537310776,11,18
ETH_D3,Q,2020Q3,35,0.8024569279847275,-0.15249163778497551,11,24
ETH_D3,Q,2020Q4,40,1.6377721738776638,0.3645307820429231,19,21
ETH_D3,Q,2021Q1,43,1.2163790704695558,0.13920238184212314,17,26
ETH_D3,Q,2021Q2,35,0.8538304489997512,-0.10658322292575033,11,24
ETH_D3,Q,2021Q3,36,1.817115170718902,0.44379785675381433,18,18
ETH_D3,Q,2021Q4,47,1.4230753887986793,0.26191198715948916,21,26
ETH_D3,Q,2022Q1,32,1.585821452197984,0.3414044768915264,15,17
ETH_D3,Q,2022Q2,34,0.5514671437839536,-0.3766690748294115,8,26
ETH_D3,Q,2022Q3,28,1.0045515948216388,0.0032042683309360903,10,18
ETH_D3,Q,2022Q4,27,0.9790071052505424,-0.015493145044759729,10,17
