symbol,period,d,candles,trades,pf,expectancy_r,return_pct,max_dd_pct,long_trades,long_pf,long_expectancy_r,short_trades,short_pf,short_expectancy_r
SPY,full,3,3477,32,0.8774505245543642,-0.0625,-5.3651020817560235,-23.61655698063436,17,1.4,0.23529411764705882,15,0.5,-0.4
SPY,full,4,3477,15,0.7172420074651462,-0.2,-6.206564512277213,-12.055035119221813,10,0.8571428571428571,-0.1,5,0.5,-0.4
SPY,first_half,3,1738,16,1.4791356869227514,0.3125,9.194039226060724,-8.168100433086254,8,3.3333333333333335,0.875,8,0.6666666666666666,-0.25
SPY,first_half,4,1738,7,0.789726727223711,-0.14285714285714285,-2.1075245509537655,-8.211589961584064,4,0.6666666666666666,-0.25,3,1.0,0.0
SPY,second_half,3,1739,15,0.4737255967431001,-0.4,-11.564566115520902,-15.37790270600317,9,0.5714285714285714,-0.3333333333333333,6,0.4,-0.5
SPY,second_half,4,1739,8,0.656331433564805,-0.25,-4.187288085749763,-9.607920320000012,6,1.0,0.0,2,0.0,-1.0
QQQ,full,3,3478,27,1.32441511512641,0.2222222222222222,10.920696312761645,-9.308864329872804,15,0.7272727272727273,-0.2,12,2.8,0.75
QQQ,full,4,3478,16,1.1839715703750704,0.125,3.6278502997208806,-12.902905108690724,10,0.8571428571428571,-0.1,6,2.0,0.5
QQQ,first_half,3,1738,11,1.109938555919625,0.09090909090909091,1.5584086223240146,-9.308864329872804,7,1.5,0.2857142857142857,4,0.6666666666666666,-0.25
QQQ,first_half,4,1738,4,0.6794816691645794,-0.25,-1.886840192345418,-7.241341103751138,1,0.0,-1.0,3,1.0,0.0
QQQ,second_half,3,1740,15,1.271967352001713,0.2,5.017907558964563,-7.751667544739349,7,0.0,-1.0,8,6.0,1.25
QQQ,second_half,4,1740,11,1.1149561835212969,0.09090909090909091,1.5584086223240146,-10.67664364655299,8,0.6666666666666666,-0.25,3,4.0,1.0
ES=F,full,3,11473,113,1.3056176243131439,0.24778761061946902,46.10922984084744,-19.074454369824586,55,2.074074074074074,0.5272727272727272,58,0.9743589743589743,-0.017241379310344827
ES=F,full,4,11473,50,0.9688149050313128,0.08,-1.813019864938037,-21.245533704531752,28,1.7333333333333334,0.39285714285714285,22,0.5882352941176471,-0.3181818181818182
ES=F,first_half,3,5768,52,1.2475592057953993,0.21153846153846154,15.621809874698744,-19.074454369824586,21,1.8181818181818181,0.42857142857142855,31,1.1,0.06451612903225806
ES=F,first_half,4,5768,22,0.6395866906225037,-0.18181818181818182,-10.835340090220559,-14.61019769691932,8,1.2,0.125,14,0.5454545454545454,-0.35714285714285715
ES=F,second_half,3,5705,61,1.347359938744377,0.2786885245901639,26.3682258556482,-15.05909756573193,34,2.25,0.5882352941176471,27,0.8421052631578947,-0.1111111111111111
ES=F,second_half,4,5705,28,1.3213794228011493,0.2857142857142857,10.118717700949787,-11.290020349174796,20,2.0,0.5,8,0.6666666666666666,-0.25
NQ=F,full,3,11474,130,1.096466203349733,0.08461538461538462,18.765074537371063,-36.68093581333718,66,1.5675675675675675,0.3181818181818182,64,0.782608695652174,-0.15625
NQ=F,full,4,11474,60,1.3061585743707251,0.2,23.03272534642966,-21.085651896526127,35,1.8888888888888888,0.45714285714285713,25,0.7777777777777778,-0.16
NQ=F,first_half,3,5766,58,1.5345180878677356,0.29310344827586204,40.725703874918025,-13.895529207401362,30,3.0,0.8,28,0.6666666666666666,-0.25
NQ=F,first_half,4,5766,25,1.3202738312832263,0.2,13.292633204109938,-9.383781563220513,16,2.5714285714285716,0.6875,9,0.25,-0.6666666666666666
NQ=F,second_half,3,5708,72,0.7737123159279846,-0.125,-17.89878522489854,-36.68093581333716,35,0.8,-0.14285714285714285,37,0.8461538461538461,-0.10810810810810811
NQ=F,second_half,4,5708,34,1.1986537156313075,0.14705882352941177,7.802085984272544,-21.08565189652612,18,1.2727272727272727,0.16666666666666666,16,1.2,0.125
